GraphID,PRCentralityWithMarkovBlanketPRV1,PRCentralityWithAdjacentNodesPRV1,PRCentralityWithInDegreeNodesPRV1,PRCentralityWithMinCutEdgesPRV1,PRCentralityWithMarkovBlanketPRV2,PRCentralityWithAdjacentNodesPRV2,PRCentralityWithInDegreeNodesPRV2,PRCentralityWithMinCutEdgesPRV2
DER,28.5605854,41.31778288,57.81375859,17.59908433,24.01242252,36.80082387,52.9110375,15.80436644
HG2,20.29229805,23.31086383,34.75633614,27.19381578,24.15485851,30.36609639,45.0577011,32.57805965
e_commerce,31.93314005,44.11099807,44.11099807,11.41952844,28.52258002,42.53961199,42.53961199,11.3396236
HG1,69.72946294,77.49847595,63.18537317,42.62833982,69.72946294,77.49847595,63.18537317,42.62833982
ABSNP,5.494193547,6.345753653,6.345753653,1.323521561,3.320801656,3.611340397,3.611340397,0.731081439
ASS2009,0.631567176,0.701418451,1.138626955,0.610866375,0.362606713,0.437320314,0.705310783,0.437451667
VOiP,31.7126259,46.57310656,46.57310656,16.1831528,32.31309799,46.97956643,46.97956643,18.12175016
AWS03,4.74323481,5.519686075,5.758897117,4.164109601,4.686411311,5.571420877,5.846361202,4.409135634
ASFS3,0.624646851,0.999371783,1.137344887,0.880803752,0.572220794,0.945202257,1.068841437,0.741306976
SCADA,30.71976329,44.49070162,51.11889452,46.34405523,22.30623838,38.22080471,44.05556301,38.83499706
