GraphID,,PRCentralityWithMarkovBlanket,PRCentralityWithAdjacentNodes,PRCentralityWithInDegreeNodes,PRCentralityWithMinCutEdges,PRCentralityWithMarkovBlanketPRV2,PRCentralityWithAdjacentNodesPRV2,PRCentralityWithInDegreeNodesPRV2,PRCentralityWithMinCutEdgesPRV2
HG2_rand,,18.01293221,21.71350259,28.2388912,28.13355952,20.89862561,25.62643567,33.46709641,31.69669688
e_commerce_rand,,31.20512503,44.48531137,44.48531137,27.87413381,31.39764579,46.31632807,46.31632807,29.8037782
SCADA_rand,,30.23871163,44.08813115,51.59206912,46.1629392,25.75243857,39.67651406,46.91030262,41.75016213
ASFS3_rand,,0.549667602,0.900694118,1.123969224,0.85330487,0.58341485,0.914517891,1.203028067,0.940604677
ABSNP_rand,,8.136621769,10.01849192,10.32297598,2.774712529,6.177934121,7.156743239,7.358963414,1.90088228
DER_rand,,30.20269914,41.93367284,59.36456024,15.15232875,25.30358985,36.82507366,53.54667642,13.86662724
VOiP_rand,,32.17073812,45.47374348,45.47374348,20.14265421,32.23741254,45.30240157,45.30240157,21.41221658
ASS2009_rand,,1.950359052,2.296429618,3.526885734,3.306235916,1.3748882,1.665345049,2.73586751,2.584182682
HG1_rand,,69.82133479,76.88599898,65.77828463,58.27780279,69.84196555,76.90781109,65.77415767,58.27776014
AWS03_rand,,5.353323263,6.263360887,6.355833312,4.594809669,5.540847311,6.566762225,6.6705193,4.825720477
