GraphID,defenceInDepth,behavioralDefender,minCut,riskBasedDefence,adjacentNodesDefence,inDegreeNodesDefence,MarkovBlanketDefence,PRJGraphTCentralityWithMarkovBlanket,PRJGraphTCentralityWithAdjacentNodes,PRJGraphTCentralityWithInDegreeNodes,PRCentralityWithMarkovBlanket,PRCentralityWithAdjacentNodes,PRCentralityWithInDegreeNodes,PRCentralityWithMinCutEdges
DER,46.47385714810096,46.47385714810094,52.068377201123624,46.47385714810094,77.56993298319962,89.16319767781042,75.07177111213228,65.0293090715178,80.67502838125759,91.65221213379327,69.93636103738157,84.14354011110484,91.97606371291938,50.81397988847836
HG2,59.710967847086714,59.71096784708667,73.06980023175949,59.710967847086685,76.81548395282016,89.16319767781042,68.81106363636032,60.23777847354778,68.07821608067725,84.90816940101476,55.047688227424494,58.941734352036804,73.43390373116374,60.68324900194396
e_commerce,46.473857148100976,46.47385714810095,35.88196115700455,46.473857148100976,89.16319767781042,89.16319767781042,89.16319767781042,69.57789279095827,87.25314635688409,87.25314635688409,75.88462767770837,85.75582949049402,85.75582949049402,37.0499406559486
HG1,86.46647167633873,86.46647167633873,44.62201641414845,86.46647167633873,97.209507901148,96.43260066527478,91.04722094379709,89.13159885696687,90.7904963764315,96.35890136761523,99.14842633950525,99.64399066555679,92.61601182665011,45.453866120976144
ABSNP,6.190358643267775,6.190358643267775,4.351081387177722,6.190358643267775,8.583735471816292,14.690396734550612,10.915248352068097,17.929571583333097,20.06907399150127,20.06907399150127,17.928487755023166,20.067723786516193,20.067723786516193,5.04285646971701
ASS2009,0.5035316816146379,0.5035316816146379,0.8610511404351141,0.5035316816146379,1.004043149249815,1.8660026731229855,1.3403417092663932,1.0321452588109223,1.2008110161729322,1.709680960529579,2.049699252119721,2.278051813468149,3.1948536774048435,1.721546710742765
VOiP,43.52818779922403,43.528187799224035,53.78611780008541,43.52818779922403,91.79150013761011,91.79150013761011,91.79150013761011,82.7737924411166,91.8949771276135,91.8949771276135,77.80472191080683,91.68423139448255,91.68423139448255,48.51579338501756
AWS03,7.597113808790429,7.597113808790462,15.101378944293147,7.597113808790429,12.708311832005117,22.507505159883173,16.338896048578526,18.870398207354224,22.17567974874953,23.109692074368922,16.47467696270228,18.93281581719958,19.748270732269077,14.5978852283204
ASFS3,1.4836364885693234,1.483636488569356,2.7559436629285687,1.4836364885693234,2.8217707096492557,3.802289946496863,3.2117680974445117,2.3259068078775766,3.657288680945636,3.9588358850346483,1.798065463906682,2.80804638718689,3.093553277473754,2.3195644166055196
SCADA,63.212055882855765,63.21205588285574,88.08591178813477,63.21205588285574,72.71808472908677,83.76793888181517,62.41539931401184,72.00429873629975,83.30617900688932,90.6314603952488,76.75782277095047,89.81584444949591,92.69889274607391,86.04117985802945
