GraphID,defenceInDepth,behavioralDefender,minCut,riskBasedDefence,adjacentNodesDefence,inDegreeNodesDefence,MarkovBlanketDefence,PRCentralityWithMarkovBlanket,PRCentralityWithAdjacentNodes,PRCentralityWithInDegreeNodes,PRCentralityWithMinCutEdges
HG2_rand,56.54017915,57.68463543,58.94817126,57.648367,75.42777261,83.76793888,71.60249766,55.94723602,60.88129614,69.22511906,55.67465396
e_commerce_rand,46.47385715,44.28643683,60.14417409,44.61326011,89.16319768,89.16319768,89.16319768,72.23048077,81.51018809,81.51018809,49.54180525
SCADA_rand,63.21205588,67.22541344,74.0802718,66.92784553,70.21727818,83.76793888,69.09655966,57.02932761,63.20607519,74.5529104,82.30193177
ASFS3_rand,4.743361697,4.803552852,12.07883492,4.853809005,7.994271111,12.15637161,9.355170677,5.765707571,7.859442995,11.13508918,11.00170209
ABSNP_rand,12.82991952,13.32679573,25.57732648,13.77118733,20.20250712,30.44679939,23.90875461,26.43046214,35.90822696,36.61981763,26.726792
DER_rand,46.47385715,47.29090313,43.80721154,47.77840201,77.29779931,89.16319768,74.7727608,66.80519922,78.26199135,86.68262306,45.68107696
VOiP_rand,43.5281878,48.23152331,56.50190461,49.03097952,91.79150014,91.79150014,91.79150014,78.62505388,89.46162305,89.46162305,53.06867659
ASS2009_rand,4.467361117,4.651753906,20.16059555,4.811930355,9.666749281,16.55527962,11.36274783,12.15768648,14.94596686,17.26658775,19.11037637
HG1_rand,86.46647168,88.11521202,90.59132468,88.46329254,94.54481928,96.43260067,87.48194679,85.50536053,94.84179357,94.5322281,94.44988963
AWS03_rand,9.032007706,9.364862894,31.34730329,9.66839639,15.49890057,26.75857769,17.79280791,14.48031756,18.06123212,19.67457812,22.40578988
